group,time,collectivism,individualism,satisfaction
1,41,3.557098195,3.129919902,4.39255247
1,41,4.481635198,3.5,3.704132663
1,41,4.358363598,2.685823785,4.39255247
1,41,5.837622802,2.759839805,2.862730676
1,41,5.591079601,3.129919902,3.627641573
2,42,3.803641396,4.610240293,3.092203945
2,42,6.823795605,5.05433641,4.698516829
2,42,3.372190795,4.166144176,3.015712855
2,42,4.173456197,4.684256312,2.709748496
2,42,3.803641396,4.314176215,4.163079201
2,42,4.481635198,4.758272332,5.616409906
3,42,3.618733995,3.944096117,2.633257407
3,42,1.954567391,5.276384468,1.71536433
3,42,3.372190795,5.276384468,1.944837599
3,42,3.187283394,5.720480585,3.245186124
4,41,4.050184597,6.090560683,2.327293048
4,41,3.988548796,3.5,2.709748496
4,41,3.495462395,5.202368449,1.79185542
5,43,3.865277196,4.462208254,4.54553465
5,43,3.803641396,2.685823785,3.857114842
5,43,2.262746392,3.57401602,4.239570291
5,43,3.865277196,3.129919902,2.862730676
5,43,2.632561193,2.833855824,4.086588111
5,43,3.125647594,2.01967961,3.168695035
6,36,2.139474791,3.129919902,2.709748496
6,36,4.235091997,2.167711649,3.015712855
6,36,3.865277196,4.018112137,1.79185542
6,36,3.248919194,2.685823785,2.786239586
6,36,3.064011794,2.907871844,2.480275227
6,36,3.495462395,3.944096117,2.403784138
6,36,3.002375994,4.314176215,2.403784138
7,37,3.557098195,2.167711649,2.174310868
7,37,3.125647594,3.722048059,2.403784138
7,37,3.372190795,2.241727668,2.327293048
7,37,4.358363598,1.279519415,2.556766317
7,37,3.002375994,2.463775727,2.403784138
7,37,2.016203191,1.501567473,3.474659394
7,37,2.016203191,1,1.79185542
8,38,2.016203191,4.462208254,2.786239586
8,38,2.817468593,3.351967961,2.633257407
8,38,3.742005596,4.832288351,3.092203945
8,38,3.125647594,3.722048059,3.015712855
8,38,3.433826595,3.277951941,3.168695035
8,38,1.83129579,4.092128156,1.79185542
8,38,1.76965999,4.832288351,2.709748496
8,38,2.077838991,5.05433641,3.245186124
8,38,3.248919194,4.462208254,3.168695035
8,38,2.016203191,4.018112137,2.556766317
8,38,4.111820397,4.758272332,2.786239586
8,38,2.570925392,4.610240293,2.174310868
8,38,1.954567391,4.166144176,2.633257407
8,38,3.742005596,5.498432527,2.174310868
